Gene,Log2FoldChange,PValue,AdjustedPValue
202503_s_at,1.2842788430302123,4.8310346040781697e-08,7.431136235480077e-07
202504_at,-0.5033378451684007,3.81033091950834e-12,1.8938802866481388e-10
202516_s_at,0.5928482567248605,9.533770013092055e-09,1.8736366962571438e-07
202543_s_at,0.8926924208987876,1.0491902966532652e-09,2.7396339634288756e-08
202545_at,0.6558633842652388,0.0011915553651960166,0.0030246551554329888
202578_s_at,0.5786703095092296,0.00015706453534283248,0.0005805213601469879
202580_x_at,0.6744029828282105,4.623287328429087e-12,2.252966379687336e-10
202583_s_at,1.0447581400564179,4.700360690135755e-05,0.00021792515060644927
202589_at,0.6053998616366005,3.1514122666866375e-07,3.5794291722609598e-06
202593_s_at,0.9065101953153629,9.150066568754848e-05,0.00037519400150701286
202613_at,0.959658302836528,1.1003199811332595e-06,1.0219625309403757e-05
202619_s_at,0.5992389913674767,0.00035103901928444403,0.0011153023907535065
202628_s_at,0.773429195910841,1.1541619619009933e-09,2.979872612437897e-08
202631_s_at,0.5062021508160313,0.00018828624905142905,0.0006715805172136464
202637_s_at,0.58408993552748,1.1840151341352672e-15,1.2586797183946156e-13
202638_s_at,0.6237441953879741,1.0826467223313027e-12,6.058653202178531e-11
202643_s_at,0.5530934139997523,1.6459504111576223e-07,2.067612728431476e-06
202647_s_at,0.6745307627599475,3.999664942833468e-31,3.7336872241350425e-28
202654_x_at,0.534711446595157,1.8376410765632487e-06,1.5608192845919067e-05
202667_s_at,0.7431225931974346,4.137082328151022e-08,6.538779010927372e-07
202705_at,1.0146032020846452,1.0266274788012293e-07,1.3958769252048393e-06
202708_s_at,0.7016908118726555,2.0080952632285926e-05,0.00010926379180904284
202709_at,-0.5113361700579988,1.5789475104847623e-09,3.938515389397911e-08
202721_s_at,0.7043697653046386,9.125156833436038e-08,1.2625599116646656e-06
202736_s_at,0.768327958551152,0.00018921493404979806,0.0006744328895826899
202746_at,-0.5996665840311568,1.979996886392499e-30,1.7396019703034334e-27
202747_s_at,-0.5450707611085872,3.1189925601318624e-20,7.058374678504469e-18
202765_s_at,0.6446724180264805,9.65575932852362e-05,0.00039248447769990146
202779_s_at,0.95033208057363,1.4897581844079445e-06,1.3119710048536e-05
202827_s_at,0.7574073715240124,3.550269163859238e-05,0.00017340359787901104
202829_s_at,0.6018762538385416,0.002574152660420102,0.0057330785896126165
202855_s_at,0.6455935349203508,8.174812612682504e-15,7.289492607941843e-13
202856_s_at,1.0289296625796724,3.218973167730286e-08,5.309617143370464e-07
202869_at,0.5523638962608284,0.0001242320955944208,0.0004801476464738696
202870_s_at,1.2038077556450062,9.941672608865878e-15,8.608047657160624e-13
202872_at,0.5565459346529451,2.387865926135898e-05,0.0001256036818903531
202874_s_at,0.6205561391045173,7.6070043539558405e-06,4.9528429394369844e-05
202889_x_at,0.6304062350937221,1.8467446599620532e-08,3.289562103899013e-07
202902_s_at,0.6577968244172561,3.217518218856372e-06,2.4631907799507317e-05
202917_s_at,0.8663479782015422,0.0035463764160493143,0.007494683855693323
202920_at,-0.9094249030221602,1.5683925557851613e-15,1.632439805798409e-13
202925_s_at,0.5211358606980587,0.00021014939794615508,0.0007325922296006005
202954_at,1.0629250489129323,3.9053733131507354e-32,4.166475414658528e-29
202955_s_at,0.6340423612253159,2.2146794667209735e-08,3.862049330407993e-07
202965_s_at,-0.835864018834134,0.0005966079965576129,0.0017156213008441483
202988_s_at,0.7026034682512248,1.4451819128642917e-05,8.3534199112001e-05
202992_at,-0.7154278456082461,1.0736874816988205e-07,1.4481314493379916e-06
